glutamate_concentration,competition_strength,communication_strength,biofilm_1_initial_phase,biofilm_3_initial_phase,mean_output_phase1,mean_output_phase2,mean_output_phase3,phase_dif_1_2,phase_dif_2_3,phase_dif_1_3
0.5,1.0,0.2,0,0,2.981127321984406,2.9742680200179796,2.9655057261312274,0.006859301966426301,0.00876229388675256,0.01562159585317886
0.5,1.0,0.2,0,3.141592653589793,2.5640436123454875,2.7709467720622003,2.707563319803003,1.9788004088888598,2.690630962817815,2.597647225893435
0.5,1.0,0.2,3.141592653589793,0,2.707726211090167,2.771219292683179,2.5641202506408534,2.690559251393026,1.9788433323769978,2.5975814984787933
0.5,1.0,0.2,3.141592653589793,3.141592653589793,2.9726018881150873,3.1812408152611327,2.9726018881150873,2.74290962004635,2.74290962004635,0.0
0.5,25.75,0.2,0,0,2.957474260681787,2.9574738425059683,2.957473355139829,4.181758185950457e-07,4.87366139623191e-07,9.055419582182367e-07
0.5,25.75,0.2,0,3.141592653589793,3.1555310686429814,3.257657298650927,2.7615065576379116,0.10212623000794566,2.7378090313292107,2.718240648789448
0.5,25.75,0.2,3.141592653589793,0,2.7613804812272598,3.2574072487376133,3.155663964296159,2.737797903481011,0.10174328444145431,2.7183033780308974
0.5,25.75,0.2,3.141592653589793,3.141592653589793,3.2400708667687796,3.362813920392566,3.2400708667687796,2.777814046395985,2.777814046395985,0.0
0.5,50.5,0.2,0,0,2.8233634185796355,2.8233634185773164,2.8233634185796355,2.319211489520967e-12,2.319211489520967e-12,0.0
0.5,50.5,0.2,0,3.141592653589793,3.918109016170522,3.33916241816449,2.8776573650429045,0.6629449149272112,2.7149118561170456,2.676566851912734
0.5,50.5,0.2,3.141592653589793,0,2.877765228980428,3.339217664118128,3.9181602720032154,2.7148881399100007,0.6629435359151692,2.676550302973957
0.5,50.5,0.2,3.141592653589793,3.141592653589793,2.7647382385398656,3.462484610350573,2.7647382385398656,2.771716431727545,2.771716431727545,0.0
0.5,75.25,0.2,0,0,3.393232096313265,3.393232096313265,3.393232096313265,0.0,0.0,0.0
0.5,75.25,0.2,0,3.141592653589793,2.5044318704519384,2.5378325329637876,3.2740289190686953,0.033400662511849075,2.738068409326078,2.7502212094819782
0.5,75.25,0.2,3.141592653589793,0,3.27400806141398,2.5376554187608944,2.504460314329029,2.7381297717116437,0.03319510443186573,2.750204694717965
